assignee,completion_date,estimated_completion_date,task_priority,sub_task,remain_sub_task_level,actual_duration,start_date,total_assign_task
Bob,2025-04-08 16:45:13.438214,2025-04-07 16:45:13.438214,medium,2 pending subtasks,low,4,2025-04-04 16:45:13.438214,5
Bob,2025-04-25 16:45:13.439210,2025-04-25 16:45:13.439210,very high,5 pending subtasks,very low,11,2025-04-14 16:45:13.439210,14
Alice,2025-05-18 16:45:13.439210,2025-05-15 16:45:13.439210,low,5 pending subtasks,low,13,2025-05-05 16:45:13.439210,20
Alice,2025-04-29 16:45:13.439210,2025-04-29 16:45:13.439210,very high,2 pending subtasks,high,7,2025-04-22 16:45:13.439210,15
Eve,2025-03-19 16:45:13.439210,2025-03-19 16:45:13.439210,very low,4 pending subtasks,low,3,2025-03-16 16:45:13.439210,11
Eve,2025-05-01 16:45:13.439210,2025-04-29 16:45:13.439210,medium,1 pending subtasks,very low,11,2025-04-20 16:45:13.439210,13
Bob,2025-05-10 16:45:13.439210,2025-05-09 16:45:13.439210,medium,3 pending subtasks,very high,8,2025-05-02 16:45:13.439210,2
Heidi,2025-03-25 16:45:13.439210,2025-03-25 16:45:13.439210,high,5 pending subtasks,very low,4,2025-03-21 16:45:13.439210,10
Frank,2025-04-11 16:45:13.439210,2025-04-11 16:45:13.439210,very low,2 pending subtasks,very low,8,2025-04-03 16:45:13.439210,10
Bob,2025-05-16 16:45:13.439210,2025-05-16 16:45:13.439210,very low,3 pending subtasks,high,6,2025-05-10 16:45:13.439210,15
Frank,2025-03-23 16:45:13.439210,2025-03-22 16:45:13.439210,medium,3 pending subtasks,low,2,2025-03-21 16:45:13.439210,3
Charlie,2025-05-01 16:45:13.439210,2025-05-01 16:45:13.439210,low,4 pending subtasks,low,12,2025-04-19 16:45:13.439210,13
Eve,2025-04-19 16:45:13.439210,2025-04-20 16:45:13.439210,very high,3 pending subtasks,low,6,2025-04-13 16:45:13.439210,2
David,2025-05-23 16:45:13.439210,2025-05-24 16:45:13.439210,medium,3 pending subtasks,high,12,2025-05-11 16:45:13.439210,3
David,2025-04-23 16:45:13.439210,2025-04-23 16:45:13.439210,very high,2 pending subtasks,medium,1,2025-04-22 16:45:13.439210,16
Grace,2025-05-11 16:45:13.439210,2025-05-12 16:45:13.439210,high,3 pending subtasks,low,10,2025-05-01 16:45:13.439210,5
David,2025-05-04 16:45:13.439210,2025-05-05 16:45:13.439210,very high,5 pending subtasks,medium,13,2025-04-21 16:45:13.439210,14
Grace,2025-04-08 16:45:13.439210,2025-04-07 16:45:13.439210,low,4 pending subtasks,very high,9,2025-03-30 16:45:13.439210,3
Alice,2025-04-05 16:45:13.439210,2025-04-06 16:45:13.439210,low,4 pending subtasks,low,11,2025-03-25 16:45:13.439210,20
Bob,2025-03-25 16:45:13.439210,2025-03-24 16:45:13.439210,very high,5 pending subtasks,high,10,2025-03-15 16:45:13.439210,9
Alice,2025-04-27 16:45:13.439210,2025-04-27 16:45:13.439210,very low,3 pending subtasks,very high,12,2025-04-15 16:45:13.439210,11
Bob,2025-05-11 16:45:13.439210,2025-05-09 16:45:13.439210,low,1 pending subtasks,high,14,2025-04-27 16:45:13.439210,9
Charlie,2025-04-10 16:45:13.439210,2025-04-10 16:45:13.439210,very low,5 pending subtasks,medium,14,2025-03-27 16:45:13.439210,20
David,2025-04-04 16:45:13.439210,2025-04-02 16:45:13.439210,low,5 pending subtasks,very high,12,2025-03-23 16:45:13.439210,1
Frank,2025-03-23 16:45:13.439210,2025-03-22 16:45:13.439210,very low,3 pending subtasks,medium,4,2025-03-19 16:45:13.439210,8
Alice,2025-03-20 16:45:13.439210,2025-03-19 16:45:13.439210,very high,1 pending subtasks,very low,3,2025-03-17 16:45:13.439210,16
Bob,2025-04-09 16:45:13.439210,2025-04-09 16:45:13.439210,very high,2 pending subtasks,low,3,2025-04-06 16:45:13.439210,16
Charlie,2025-05-11 16:45:13.439210,2025-05-10 16:45:13.439210,very high,2 pending subtasks,high,5,2025-05-06 16:45:13.439210,18
